,idx,rep,n,m,pval,causal_effect,hyp_test
84,0,84,10000,3.1622776601683795,0.03231106057617231,0.0,0
85,0,85,10000,3.1622776601683795,0.8272671495512229,0.0,0
86,0,86,10000,3.1622776601683795,0.024121131902817637,0.0,0
87,0,87,10000,3.1622776601683795,0.3628016423763484,0.0,0
88,0,88,10000,3.1622776601683795,0.30545481127945784,0.0,0
89,0,89,10000,3.1622776601683795,0.8092265729366487,0.0,1
90,0,90,10000,3.1622776601683795,0.00443719658116228,0.0,0
91,0,91,10000,3.1622776601683795,0.7142473734877872,0.0,0
92,0,92,10000,3.1622776601683795,0.9508495143573779,0.0,0
93,0,93,10000,3.1622776601683795,0.6270446735508332,0.0,0
94,0,94,10000,3.1622776601683795,0.5613452784324713,0.0,0
95,0,95,10000,3.1622776601683795,0.47074852638785547,0.0,0
